date,value
01/01/15,60
01/02/15,48
01/03/15,94
01/04/15,75
01/05/15,29
01/06/15,75
01/07/15,10
01/08/15,100
01/09/15,31
01/10/15,64
01/11/15,93
01/12/15,0
01/13/15,55
01/14/15,26
01/15/15,1
01/16/15,27
01/17/15,7
01/18/15,68
01/19/15,10
01/20/15,0
01/21/15,0
01/22/15,100
01/23/15,95
01/24/15,12
01/25/15,94
01/26/15,7
01/27/15,95
01/28/15,40
01/29/15,57
01/30/15,22
01/31/15,78
02/01/15,46
02/02/15,78
02/03/15,15
02/04/15,46
02/05/15,96
02/06/15,70
02/07/15,84
02/08/15,101
02/09/15,50
02/10/15,79
02/11/15,83
02/12/15,39
02/13/15,70
02/14/15,69
02/15/15,19
02/16/15,13
02/17/15,99
02/18/15,14
02/19/15,55
02/20/15,12
02/21/15,10
02/22/15,70
02/23/15,16
02/24/15,27
02/25/15,47
02/26/15,48
02/27/15,53
02/28/15,43
03/01/15,28
03/02/15,33
03/03/15,26
03/04/15,68
03/05/15,88
03/06/15,75
03/07/15,3
03/08/15,97
03/09/15,15
03/10/15,67
03/11/15,67
03/12/15,25
03/13/15,71
03/14/15,35
03/15/15,34
03/16/15,16
03/17/15,53
03/18/15,49
03/19/15,65
03/20/15,37
03/21/15,91
03/22/15,27
03/23/15,94
03/24/15,87
03/25/15,13
03/26/15,68
03/27/15,51
03/28/15,26
03/29/15,30
03/30/15,45
03/31/15,7
04/01/15,50
04/02/15,98
04/03/15,27
04/04/15,99
04/05/15,17
04/06/15,22
04/07/15,95
04/08/15,38
04/09/15,26
04/10/15,8
04/11/15,25
04/12/15,16
04/13/15,75
04/14/15,42
04/15/15,90
04/16/15,7
04/17/15,67
04/18/15,90
04/19/15,3
04/20/15,8
04/21/15,101
04/22/15,38
04/23/15,15
04/24/15,52
04/25/15,29
04/26/15,38
04/27/15,6
04/28/15,38
04/29/15,25
04/30/15,75
05/01/15,43
05/02/15,49
05/03/15,72
05/04/15,17
05/05/15,24
05/06/15,92
05/07/15,35
05/08/15,13
05/09/15,101
05/10/15,1
05/11/15,35
05/12/15,53
05/13/15,10
05/14/15,14
05/15/15,71
05/16/15,26
05/17/15,71
05/18/15,74
05/19/15,33
05/20/15,36
05/21/15,15
05/22/15,75
05/23/15,97
05/24/15,50
05/25/15,2
05/26/15,96
05/27/15,48
05/28/15,97
05/29/15,85
05/30/15,49
05/31/15,84
06/01/15,29
06/02/15,86
06/03/15,28
06/04/15,61
06/05/15,93
06/06/15,84
06/07/15,61
06/08/15,38
06/09/15,100
06/10/15,54
06/11/15,43
06/12/15,88
06/13/15,41
06/14/15,21
06/15/15,96
06/16/15,100
06/17/15,23
06/18/15,31
06/19/15,73
06/20/15,56
06/21/15,45
06/22/15,76
06/23/15,0
06/24/15,87
06/25/15,12
06/26/15,22
06/27/15,31
06/28/15,35
06/29/15,32
06/30/15,19
